"Foods","Calories","Carbs","Fat","Protein","Cholest","Sodium","Sugars","Fiber","Day","Meal"
"Generic - Fresh Steamed Brocoli, 1 cup",30,6,0,3,0,29,2,2,2017-01-05,"Breakfast"
"Generic - French Emental Cheese, 37.5 g",138,1,10,10,31,69,0,0,2017-01-05,"Breakfast"
"Lachs - Lachs, 85 g",195,0,14,17,0,0,0,0,2017-01-05,"Breakfast"
"Sweet Potato - Plain, 100 grams",86,20,0,2,0,55,4,3,2017-01-05,"Breakfast"
"Brot - Roggenbrot, 1 Scheibe (50 g)",109,24,2,4,0,303,2,3,2017-01-05,"Lunch"
"Waitrose - Burrata, 250 g",555,3,47,34,0,550,0,0,2017-01-05,"Lunch"
"Fresh - Rucula, 100 gr",27,4,1,3,0,27,2,2,2017-01-05,"Lunch"
"Tomato - Tomato, 91 g",17,4,0,1,0,5,3,1,2017-01-05,"Lunch"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-01-06,"Breakfast"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-06,"Breakfast"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-06,"Breakfast"
"Sweet Potato - Plain, 150 grams",129,30,0,2,0,83,6,5,2017-01-06,"Breakfast"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-01-06,"Breakfast"
"Spinach - Raw, 2 cup",14,2,0,2,0,47,0,1,2017-01-06,"Breakfast"
"Timea - Avocado, 0.5 Medium Avocado (150g)",85,8,13,2,0,7,0,6,2017-01-06,"Breakfast"
"Red Onion, 1 oz",16,4,0,0,0,1,2,1,2017-01-06,"Breakfast"
"Organic Workout - Paleobrot, 50 g",110,4,6,8,0,300,1,0,2017-01-06,"Lunch"
"Homemade - Kurbis - Kokos - Suppe, 1 Teller",348,37,14,16,0,527,3,0,2017-01-06,"Lunch"
"Generic - Lamb Osso Bucco, 6 oz",420,40,13,34,88,0,0,5,2017-01-06,"Dinner"
"Giant - Crusty French Bread, 1 slices (57g)",80,15,2,2,0,145,1,1,2017-01-06,"Dinner"
"Carrots, raw, 1 cup chopped",52,12,0,1,0,88,6,4,2017-01-06,"Dinner"
"Raw - Zuchini, 300 g",51,9,1,4,0,24,8,3,2017-01-06,"Dinner"
"Oil - Olive, 2 tablespoon",239,0,27,0,0,1,0,0,2017-01-06,"Dinner"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-07,"Breakfast"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-07,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-01-07,"Breakfast"
"Avocado/pear Smoothie, 1.25 serving(s)",471,32,40,5,0,7,13,13,2017-01-07,"Breakfast"
"W. Brandenburg - Rinder-Hack, 250 g",550,0,40,48,0,0,0,0,2017-01-07,"Lunch"
"Feta - Feta, 25 g",72,0,6,4,0,0,0,0,2017-01-07,"Lunch"
"Sweet Potato, 1 cup (133 g)",114,27,0,2,0,73,6,4,2017-01-07,"Lunch"
"Giant Eagle - Hamburger Bun, 1 bun",140,27,2,4,0,220,3,1,2017-01-07,"Lunch"
"Rice - White, medium-grain, cooked, 1 cup",242,53,0,4,0,0,0,1,2017-01-07,"Dinner"
"Generic - Cod Fillet Baked, 200 gram",207,24,8,14,20,219,4,3,2017-01-07,"Dinner"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-08,"Breakfast"
"Rice - White, medium-grain, cooked, 1 cup",242,53,0,4,0,0,0,1,2017-01-08,"Breakfast"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-01-08,"Breakfast"
"Planet Organic - Grain free  paleonola, 45 g",244,18,17,6,0,0,0,0,2017-01-08,"Breakfast"
"hofgut storzeln - soja drink vanille, 200 g",118,12,4,7,0,0,12,1,2017-01-08,"Breakfast"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-01-08,"Lunch"
"Safeway bacon - Bacon, 3 slice",240,0,21,12,30,780,0,0,2017-01-08,"Lunch"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-01-08,"Lunch"
"Koko - Dairy Free Coconut drink (choc + CORRECTED calcium), 250 ml",133,23,5,1,0,0,19,1,2017-01-08,"Lunch"
"Laschori - Black Tiger Schrimps, 150 g",86,0,2,18,0,0,0,0,2017-01-08,"Dinner"
"Kurbis - Butternut Kurbis, 300 g",135,25,0,3,0,18,0,5,2017-01-08,"Dinner"
"Mango - Mango*, 100 gr",65,28,0,0,0,0,0,0,2017-01-08,"Dinner"
"Falafel - Falafel, 6 ball",342,32,18,14,0,300,0,0,2017-01-08,"Snacks"
"Hummus - Hummus, 4 ounces",170,27,3,8,0,0,0,6,2017-01-08,"Snacks"
"Innocent - Green Smoothie - Apfel, Birne,Spinat,Grunkohl & Baobab, 500 g",220,54,0,1,0,0,40,0,2017-01-08,"Snacks"
"Egg - Egg, Boiled, 1 large egg (50 g)",70,0,5,6,215,71,0,0,2017-01-08,"Snacks"
"Beet it sport - Pro-elite sports shot, 140 ml",136,28,0,6,0,0,0,0,2017-01-08,"Training"
"Generation Ucan - Chocolate (Tub), 1 SCOOP (30g)",110,18,1,7,0,128,1,1,2017-01-08,"Training"
"Vega  Sport Performance Protein Chocolate  new - Protein, 0.75 scoop",120,5,2,23,0,278,1,2,2017-01-08,"Training"
"Generation Ucan - Pomegranate Blueberry (Tub), 12.5 g = 1 SCOOP",40,11,0,0,0,80,0,1,2017-01-08,"Training"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-01-09,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-01-09,"Breakfast"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-09,"Breakfast"
"Timea - Avocado, 0.75 Medium Avocado (150g)",128,11,20,2,0,11,0,9,2017-01-09,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-09,"Breakfast"
"hofgut storzeln - soja drink vanille, 200 g",118,12,4,7,0,0,12,1,2017-01-09,"Breakfast"
"Brussel Sprouts - Brussels Sprouts, Cooked, 0.5 cup (100g)",28,3,0,2,0,12,2,2,2017-01-09,"Breakfast"
"Kurbis - Butternut Kurbis, 65 g",29,5,0,1,0,4,0,1,2017-01-09,"Breakfast"
"Cod - Cod, 250 g",175,0,1,40,0,0,0,0,2017-01-09,"Lunch"
"White Rice - White Rice, 1 cup",205,44,0,1,0,0,0,0,2017-01-09,"Lunch"
"Generic - Lamb Osso Bucco, 6 oz",420,40,13,34,88,0,0,5,2017-01-09,"Dinner"
"Oil - Olive, 2 tablespoon",239,0,27,0,0,1,0,0,2017-01-09,"Dinner"
"Carrots, raw, 1 cup chopped",52,12,0,1,0,88,6,4,2017-01-09,"Dinner"
"Raw - Zuchini, 300 g",51,9,1,4,0,24,8,3,2017-01-09,"Dinner"
"Pederson's - Bacon, 3 piece",180,3,18,3,15,345,0,0,2017-01-09,"Snacks"
"Le Pain des fleurs - tartine, 6 tartine",84,12,0,0,0,0,0,0,2017-01-09,"Snacks"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-10,"Breakfast"
"Timea - Avocado, 1 Medium Avocado (150g)",170,15,26,3,0,14,0,12,2017-01-10,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-10,"Breakfast"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-10,"Breakfast"
"Planet Organic - Paleonola caramel apple pie, 50 g",276,19,19,8,0,0,10,5,2017-01-10,"Breakfast"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-01-10,"Breakfast"
"Panera - Shrimp, 8 piece",100,0,2,21,185,240,0,0,2017-01-10,"Lunch"
"Kurbis - Butternut Kurbis, 100 g",45,8,0,1,0,6,0,2,2017-01-10,"Lunch"
"White Rice - White Rice, 1 cup",205,44,0,1,0,0,0,0,2017-01-10,"Lunch"
"Thai - Lait De Coco, 100 ml",186,5,18,1,0,0,0,0,2017-01-10,"Lunch"
"Generic - Homemade Bolognese Sauce, 1 cup",240,5,0,30,0,292,4,0,2017-01-10,"Dinner"
"Rice &Rice - spaghetti di riso, 100 gr",351,78,1,7,0,0,0,0,2017-01-10,"Dinner"
"Paleomio - Hunter bar, 70 g",307,22,18,11,0,0,20,0,2017-01-10,"Snacks"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 20 g",115,5,10,2,0,0,0,0,2017-01-10,"Snacks"
"Squash, winter, butternut, raw, 1 cup, cubes",63,16,0,1,0,6,3,3,2017-01-10,"Snacks"
"No Brand - Brussel Sprouts, 1 cup",38,8,0,3,0,22,0,3,2017-01-10,"Snacks"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-11,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-11,"Breakfast"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-01-11,"Breakfast"
"Planet Organic - Paleonola caramel apple pie, 60 g",331,22,22,9,0,0,12,6,2017-01-11,"Breakfast"
"hofgut storzeln - soja drink vanille, 300 g",177,18,6,11,0,0,18,2,2017-01-11,"Breakfast"
"Kurbis - Butternut Kurbis, 100 g",45,8,0,1,0,6,0,2,2017-01-11,"Lunch"
"No Brand - Brussel Sprouts, 1 cup",38,8,0,3,0,22,0,3,2017-01-11,"Lunch"
"Cod - Cod, 200 g",140,0,1,32,0,0,0,0,2017-01-11,"Lunch"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-01-11,"Lunch"
"Brocoli - Steamed Brocoli, 1 Cup",70,10,1,4,0,49,3,4,2017-01-11,"Dinner"
"Rapunzel - Reismischung mit Wildreis, 80 g",283,59,2,7,0,0,1,2,2017-01-11,"Dinner"
"Oil - Olive, 1 tablespoon",119,0,14,0,0,0,0,0,2017-01-11,"Dinner"
"Egg - Egg, 2 large",143,1,10,13,372,142,0,0,2017-01-11,"Dinner"
"hofgut storzeln - soja drink vanille, 300 g",177,18,6,11,0,0,18,2,2017-01-12,"Breakfast"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-01-12,"Breakfast"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-12,"Breakfast"
"Paleo - Schoko Musli, 60 g",367,9,31,9,0,0,5,0,2017-01-12,"Breakfast"
"Egg - Egg, 1 large egg (50g)",70,0,5,6,185,70,0,0,2017-01-12,"Breakfast"
"White Rice - White Rice, 1 cup",205,44,0,1,0,0,0,0,2017-01-12,"Lunch"
"Usda Choufleur - Choufleur Cuit, 300 g",69,12,1,6,0,45,0,7,2017-01-12,"Lunch"
"Chicken Breast - Roasted - Chicken Breast, 80 g",158,0,6,24,67,57,0,0,2017-01-12,"Lunch"
"Brocoli - Steamed Brocoli, 2 Cup",100,20,1,8,0,98,5,8,2017-01-12,"Dinner"
"Chicken Breast - Roasted - Chicken Breast, 130 g",256,0,10,39,109,92,0,0,2017-01-12,"Dinner"
"Bacon Slice - Bacon, 2 slices",160,0,10,3,5,210,0,0,2017-01-12,"Dinner"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-01-12,"Dinner"
"Waitrose - Ratte Potatoes, 250 g",198,43,1,5,0,25,2,6,2017-01-12,"Dinner"
"Fage - Full Fat Yogurt, 1 Cup",220,9,11,20,30,80,9,0,2017-01-12,"Snacks"
"Paleomio - Warrior Bar, 70 g",304,23,17,12,0,0,19,0,2017-01-12,"Snacks"
"Netto - Ziegen Kase, 30 g",116,0,10,7,0,0,0,0,2017-01-12,"Snacks"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-13,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-13,"Breakfast"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-13,"Breakfast"
"Frischer - Lachs, 125 g",225,0,14,25,0,0,0,0,2017-01-13,"Breakfast"
"hofgut storzeln - soja drink vanille, 200 g",118,12,4,7,0,0,12,1,2017-01-13,"Breakfast"
"Chicken Breast - Roasted - Chicken Breast, 100 g",197,0,8,30,84,71,0,0,2017-01-13,"Lunch"
"Safeway bacon - Bacon, 2 slice",160,0,14,8,20,520,0,0,2017-01-13,"Lunch"
"Schar - Meisterbackers Vital, 112 gram",298,42,10,5,0,0,0,0,2017-01-13,"Lunch"
"Sainsbury's - Boneless Lamb Shoulder, 200 g",436,0,24,54,210,0,0,0,2017-01-13,"Dinner"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-14,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-01-14,"Breakfast"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-01-14,"Breakfast"
"Planet Organic - Grain free  paleonola, 55 g",299,22,20,7,0,0,0,0,2017-01-14,"Breakfast"
"Lachs - Lachs, 165 g",378,0,26,33,0,0,0,0,2017-01-14,"Lunch"
"Bama - Spinat, 100 g",2,0,0,3,0,100,0,2,2017-01-14,"Lunch"
"Oil - Olive, 1 tablespoon",119,0,14,0,0,0,0,0,2017-01-14,"Lunch"
"Carrots, raw, 1 cup chopped",52,12,0,1,0,88,6,4,2017-01-14,"Lunch"
"Generic - Fresh Steamed Brocoli, 1 cup",30,6,0,3,0,29,2,2,2017-01-14,"Lunch"
"Outtakes - Quinoa and Chickpea Salad, 0.5 cup",134,18,5,4,0,149,2,3,2017-01-14,"Lunch"
"Eurest - Mashed Sweet Potatoes, 0.5 cup",143,27,3,2,0,268,7,3,2017-01-14,"Dinner"
"Carrefour - Roti De Porc, 275 g",327,3,8,61,0,2,3,0,2017-01-14,"Dinner"
"Vega - Recovery Accelerator - Tropical (Usa), 27 grams",90,20,0,4,0,150,14,0,2017-01-14,"Snacks"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-14,"Snacks"
"Cheese - Gouda, 1.5 oz",151,1,12,11,48,348,1,0,2017-01-14,"Snacks"
"Trek - Cocoa Chaos, 55 g",186,27,4,10,0,120,23,4,2017-01-15,"Breakfast"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-15,"Breakfast"
"Planet Organic - Grain free  paleonola, 60 g",326,24,22,8,0,0,0,0,2017-01-15,"Breakfast"
"Rapunzel - Reismischung mit Wildreis, 120 g",425,89,3,10,0,0,1,3,2017-01-15,"Lunch"
"Custom - Avocado, 0.5 avocado",116,1,7,2,0,4,0,4,2017-01-15,"Lunch"
"Generic - Fresh Steamed Brocoli, 1 cup",30,6,0,3,0,29,2,2,2017-01-15,"Lunch"
"Lachs - Lachs, 200 g",458,0,32,40,0,0,0,0,2017-01-15,"Lunch"
"Lamm - Filet, 250 g",298,0,9,55,0,0,0,0,2017-01-15,"Dinner"
"Couscous, cooked, 1.5 cup, cooked",264,55,0,9,0,12,0,3,2017-01-15,"Dinner"
"Bio - Medjoul-datte, 35 g",97,25,0,1,0,0,0,2,2017-01-15,"Dinner"
"Cheese - Gouda, 1 oz",101,1,8,7,32,232,1,0,2017-01-15,"Snacks"
"Le Pain des fleurs - tartine, 2 tartine",28,4,0,0,0,0,0,0,2017-01-15,"Snacks"
"Coconut Bliss - Coconut Almond Eis, 0.8 Stuck",246,10,18,2,0,0,0,0,2017-01-15,"Snacks"
"Juice Generation - Very Veggie Fresh Juice, 18 oz",195,45,0,4,0,69,33,4,2017-01-15,"Snacks"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-01-15,"Snacks"
"FIT RABBIT Bio sport drink - Beetroot, 0.25 cup",24,5,0,1,0,0,5,0,2017-01-15,"Training"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-15,"Training"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-16,"Breakfast"
"Planet Organic - Grain free  paleonola, 60 g",326,24,22,8,0,0,0,0,2017-01-16,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-16,"Breakfast"
"Kase - Gouda, 30 g",99,0,8,8,0,0,0,0,2017-01-16,"Breakfast"
"Rapunzel - Reismischung mit Wildreis, 80 g",283,59,2,7,0,0,1,2,2017-01-16,"Lunch"
"Bama - Spinat, 100 g",2,0,0,3,0,100,0,2,2017-01-16,"Lunch"
"Lachs - Lachs, 150 g",344,0,24,30,0,0,0,0,2017-01-16,"Lunch"
"Peppers, sweet, red, raw, 0.5 cup, chopped",23,4,0,1,0,3,3,2,2017-01-16,"Dinner"
"Brocoli - Steamed Brocoli, 1 Cup",70,10,1,4,0,49,3,4,2017-01-16,"Dinner"
"Eurest - Mashed Sweet Potatoes, 0.5 cup",143,27,3,2,0,268,7,3,2017-01-16,"Dinner"
"Homemade - Carrot Mash, 100 g",35,8,0,1,0,0,7,2,2017-01-16,"Dinner"
"Chicken Leg - Grilled With Skin, 130 g",153,0,8,18,61,79,0,0,2017-01-16,"Dinner"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 20 g",115,5,10,2,0,0,0,0,2017-01-16,"Snacks"
"Cheese - Gouda, 1 oz",101,1,8,7,32,232,1,0,2017-01-16,"Snacks"
"Egg - Egg, Boiled, 1 large egg (50 g)",70,0,5,6,215,71,0,0,2017-01-16,"Snacks"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-17,"Breakfast"
"Planet Organic - Grain free  paleonola, 60 g",326,24,22,8,0,0,0,0,2017-01-17,"Breakfast"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-17,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-01-17,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-01-17,"Breakfast"
"Kase - Gouda, 30 g",99,0,8,8,0,0,0,0,2017-01-17,"Breakfast"
"Peppers, sweet, red, raw, 0.5 cup, chopped",23,4,0,1,0,3,3,2,2017-01-17,"Lunch"
"Brocoli - Steamed Brocoli, 1 Cup",70,10,1,4,0,49,3,4,2017-01-17,"Lunch"
"Eurest - Mashed Sweet Potatoes, 0.5 cup",143,27,3,2,0,268,7,3,2017-01-17,"Lunch"
"Homemade - Carrot Mash, 100 g",35,8,0,1,0,0,7,2,2017-01-17,"Lunch"
"Chicken Leg - Grilled With Skin, 150 g",177,0,10,21,71,92,0,0,2017-01-17,"Lunch"
"huftsteak - huftsteak , 250 g",260,0,6,53,0,0,0,0,2017-01-17,"Dinner"
"Eurest - Mashed Sweet Potatoes, 0.5 cup",143,27,3,2,0,268,7,3,2017-01-17,"Dinner"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 40 g",229,10,20,3,0,0,0,0,2017-01-17,"Snacks"
"Egg - Egg, Boiled, 1 large egg (50 g)",70,0,5,6,215,71,0,0,2017-01-17,"Snacks"
"Avocado - Avocado, 0.5 medium",117,6,11,1,0,5,1,5,2017-01-17,"Snacks"
"FIT RABBIT Bio sport drink - Beetroot, 0.25 cup",24,5,0,1,0,0,5,0,2017-01-17,"Training"
"Kase - Gouda, 30 g",99,0,8,8,0,0,0,0,2017-01-18,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-01-18,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-01-18,"Breakfast"
